original_2021,adjusted_2021,target_2025
4.69,4.81,4.35
4.75,4.86,4.9
5.0,5.0,4.88
4.84,4.92,4.88
4.81,4.89,5.0
4.78,4.87,4.96
5.0,5.0,5.0
4.81,4.89,4.59
4.88,4.95,4.75
4.48,4.65,4.94
4.64,4.77,4.93
4.71,4.83,4.96
5.0,5.0,4.82
5.0,5.0,4.92
4.75,4.86,5.0
4.97,5.0,4.91
4.67,4.8,4.92
3.75,4.31,4.84
4.68,4.81,4.9
4.38,4.6,4.82
5.0,5.0,4.82
5.0,5.0,4.75
5.0,5.0,4.87
4.87,4.94,4.75
4.85,4.92,5.0
4.84,4.92,4.89
4.86,4.93,4.89
4.5,4.69,4.73
4.69,4.81,5.0
4.81,4.89,4.9
4.71,4.83,4.7
4.81,4.89,4.87
5.0,5.0,4.71
4.96,5.0,4.57
4.81,4.89,4.92
5.0,5.0,4.79
4.72,4.83,4.88
5.0,5.0,4.9
4.83,4.91,4.56
5.0,5.0,4.8
4.9,4.97,4.67
4.91,5.0,4.94
4.91,5.0,4.79
4.96,5.0,4.97
4.92,5.0,4.88
4.66,4.78,4.62
4.92,5.0,4.8
4.78,4.87,4.48
4.79,4.88,5.0
4.8,4.89,4.86
4.43,4.63,4.81
4.67,4.8,5.0
4.88,4.95,4.91
4.75,4.86,4.95
4.71,4.83,4.9
4.92,5.0,4.71
4.94,5.0,4.73
4.82,4.9,4.88
4.67,4.8,4.86
5.0,5.0,4.75
4.7,4.82,4.89
4.72,4.83,4.94
4.83,4.91,4.94
4.64,4.77,4.59
4.84,4.92,4.9
4.84,4.92,4.67
4.6,4.75,4.81
5.0,5.0,4.64
4.8,4.89,4.57
4.97,5.0,4.86
4.79,4.88,5.0
4.81,4.89,4.92
4.91,5.0,4.96
4.97,5.0,4.3
5.0,5.0,4.75
4.79,4.88,4.89
4.69,4.81,4.88
4.89,4.96,4.76
4.89,4.96,4.75
4.89,4.96,4.97
4.69,4.81,4.8
4.2,4.5,4.5
4.83,4.91,4.86
4.73,4.83,4.76
4.84,4.92,4.86
4.89,4.96,4.89
5.0,5.0,4.77
4.93,5.0,5.0
5.0,5.0,4.78
4.79,4.88,5.0
4.77,4.86,4.85
4.88,4.95,4.75
4.96,5.0,4.85
4.64,4.77,4.89
4.75,4.86,4.83
5.0,5.0,3.83
4.93,5.0,4.95
4.56,4.72,4.91
4.88,4.95,4.68
4.75,4.86,4.93
4.03,4.5,4.5
4.8,4.89,5.0
4.73,4.83,4.88
4.86,4.93,5.0
4.91,5.0,4.72
4.6,4.75,4.67
4.88,4.95,4.95
4.63,4.76,4.75
4.73,4.83,4.89
4.57,4.73,4.6
4.55,4.71,4.89
4.69,4.81,4.95
4.68,4.81,4.9
4.88,4.95,4.82
4.76,4.86,4.73
5.0,5.0,4.97
4.79,4.88,5.0
5.0,5.0,4.84
4.9,4.97,4.97
4.63,4.76,4.82
4.91,5.0,4.87
4.75,4.86,4.92
5.0,5.0,5.0
5.0,5.0,4.88
4.9,4.97,4.73
4.85,4.92,4.67
5.0,5.0,4.95
4.69,4.81,4.89
4.88,4.95,4.93
4.83,4.91,4.86
4.71,4.83,5.0
4.91,5.0,4.63
4.87,4.94,4.7
5.0,5.0,4.92
4.95,5.0,4.81
4.67,4.8,4.91
4.93,5.0,5.0
5.0,5.0,4.5
4.88,4.95,4.72
4.77,4.86,4.87
4.86,4.93,4.72
4.89,4.96,4.5
4.56,4.72,4.72
4.54,4.71,4.78
4.76,4.86,4.87
4.78,4.87,4.99
4.87,4.94,4.89
4.14,4.5,4.47
4.88,4.95,4.42
4.81,4.89,4.93
4.47,4.64,5.0
4.73,4.83,4.98
5.0,5.0,5.0
4.89,4.96,5.0
4.73,4.83,5.0
4.78,4.87,4.4
4.88,4.95,4.75
4.73,4.83,4.95
4.5,4.69,4.9
4.82,4.9,4.87
4.8,4.89,4.61
4.88,4.95,4.75
4.58,4.74,4.82
4.94,5.0,4.97
4.41,4.61,5.0
4.84,4.92,4.92
4.94,5.0,4.75
5.0,5.0,4.93
4.62,4.75,4.8
4.55,4.71,5.0
5.0,5.0,4.69
5.0,5.0,4.83
4.6,4.75,4.91
4.95,5.0,4.78
4.93,5.0,4.88
4.9,4.97,4.94
4.62,4.75,4.8
4.93,5.0,4.92
5.0,5.0,5.0
4.9,4.97,4.93
4.91,5.0,4.67
4.75,4.86,4.78
4.54,4.71,4.84
4.36,4.58,5.0
4.67,4.8,4.87
0.0,4.0,4.87
4.67,4.8,4.94
4.89,4.96,4.94
5.0,5.0,4.91
5.0,5.0,5.0
4.87,4.94,4.8
4.88,4.95,4.95
4.97,5.0,4.83
4.8,4.89,4.97
5.0,5.0,4.8
4.95,5.0,4.84
4.96,5.0,4.81
4.91,5.0,4.94
5.0,5.0,4.88
4.7,4.82,5.0
4.75,4.86,4.79
4.5,4.69,4.91
4.69,4.81,4.88
5.0,5.0,4.81
4.78,4.87,4.91
4.36,4.58,4.64
5.0,5.0,4.93
5.0,5.0,5.0
4.5,4.69,4.89
4.5,4.69,4.85
4.44,4.63,4.84
4.8,4.89,5.0
